What is your age?,What is your gender?  ,What is your occupation?  ,Does any member of your family or a close acquaintance live abroad?,Have you decided to move abroad?,How long do you plan to stay abroad?,Are you aware of any specific migration programs or scholarships available for students or workers abroad?  ,What role do social media and online success stories play in influencing your decision to move abroad?,Who or what influences your decision to move abroad? (Multiple options can be selected),Which countries are you most interested in moving to?,How much psychological stress or anxiety have you experienced while considering moving abroad?  ,What is your primary goal for considering moving abroad? (Multiple options can be selected),What kind of psychological stress have you experienced while planning to move abroad? (Multiple options can be selected) ,How do you cope with the stress of planning to move abroad?,Do you think migration trends have increased among Bangladeshi youth in the last 5 years?,What do you think is the biggest barrier to migrating abroad? (Multiple options can be selected),Do you think you will return to Bangladesh in the future after living abroad?,Do you think your decision to move abroad will impact your family or community in Bangladesh?,Do you feel that the government of Bangladesh offers enough support for youth planning to migrate abroad?  ,Do you feel a sense of responsibility towards your family while planning to move abroad?,"How likely are you to recommend going abroad to others in your age group? (Rate on a scale of 1 to 5, where 1 is very unlikely and 5 is very likely)."
31-40,Female,Self-employed,Yes,Not sure yet,Permanently,Yes,A significant role,Career mentors or teachers;Social media and online success stories;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Rarely,Economic opportunities;Healthcare;Better job opportunities,Language barriers;Job uncertainty;Social acceptance,Talking to family and friends,No change,Financial issues;All country Embassy is not in Bangladesh;Job information or experience,Yes,Not sure,Not Sure,No,5
40 or above,Male,Employed,No,Yes,1-2 years,Maybe,No role at all,Personal research and aspirations;Other;Social media and online success stories,Australia,Never,Political stability;Healthcare;Desire for independence,Language barriers;Job uncertainty;Cultural shock,Professional counseling,Yes,Educational qualification;Other;Family pressure or support,No,Negative impact,Yes,Maybe,4
25-30,Female,Student,Yes,No,Permanently,No,No role at all,Career mentors or teachers;Friends or peer influence;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Often,Better job opportunities;Political stability;Desire for independence,Social acceptance;Visa or immigration concerns;Other,Hobbies or physical exercise,I’m not sure,Family pressure or support;Visa or immigration process;Other,Yes,Negative impact,No,No,5
40 or above,Female,Other,No,Yes,1-2 years,Maybe,No role at all,Friends or peer influence;Other;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Always,Healthcare;Economic opportunities;Better living standards,Cultural shock;Social acceptance;Other,Talking to family and friends,Yes,Financial issues;All country Embassy is not in Bangladesh;Family pressure or support,Yes,Negative impact,Yes,Yes,2
18-24,Male,Student,No,No,Less than 1 year,No,A moderate role,Personal research and aspirations;Career mentors or teachers;Social media and online success stories,USA,Rarely,Other;Higher education;Healthcare,Cultural shock;Visa or immigration concerns;Social acceptance,Talking to family and friends,No change,Financial issues;Visa or immigration process;Family pressure or support,No,Positive impact,Not Sure,No,2
25-30,Male,Student,No,Yes,1-2 years,Maybe,No role at all,Social media and online success stories;Family pressure or support;Personal research and aspirations,Canada,Rarely,Desire for independence;Healthcare;Higher education,Visa or immigration concerns;Separation from family;Language barriers,Talking to family and friends,I’m not sure,Other;All country Embassy is not in Bangladesh;Family pressure or support,Yes,Not sure,No,Yes,4
25-30,Male,Student,No,Not sure yet,Less than 1 year,Yes,No role at all,Other;Social media and online success stories;Friends or peer influence,Canada,Sometimes,Better living standards;Political stability;Desire for independence,Social acceptance;Other;Separation from family,Other,Yes,Educational qualification;Other;Job information or experience,No,Positive impact,No,Yes,1
25-30,Female,Employed,No,No,1-2 years,No,A significant role,Career mentors or teachers;Social media and online success stories;Personal research and aspirations,UK,Often,Other;Political stability;Desire for independence,Language barriers;Job uncertainty;Other,Professional counseling,No,Family pressure or support;Educational qualification;Financial issues,Not sure,No impact,Yes,Maybe,4
31-40,Female,Employed,No,Yes,Less than 1 year,Maybe,A minor role,Career mentors or teachers;Other;Friends or peer influence,USA,Always,Political stability;Other;Healthcare,Nothing,Hobbies or physical exercise,Yes,Educational qualification;Job information or experience;Other,Not sure,No impact,Yes,No,1
25-30,Female,Student,No,Yes,Less than 1 year,Maybe,A minor role,Other;Friends or peer influence;Personal research and aspirations,USA,Always,Desire for independence;Other;Higher education,Separation from family;Social acceptance;Job uncertainty,Professional counseling,Yes,Financial issues;Other;Job information or experience,Not sure,No impact,Yes,No,1
18-24,Male,Student,No,Not sure yet,Less than 1 year,Maybe,No role at all,Career mentors or teachers;Other;Family pressure or support,Australia,Rarely,Better job opportunities;Economic opportunities;Political stability,Other;Social acceptance;Language barriers,Hobbies or physical exercise,No,Other;Visa or immigration process;Educational qualification,Yes,Positive impact,Yes,Yes,4
31-40,Female,Other,Yes,No,1-2 years,Maybe,A moderate role,Career mentors or teachers;Social media and online success stories;Other,Australia,Sometimes,Better living standards;Higher education;Economic opportunities,Language barriers;Cultural shock;Social acceptance,Hobbies or physical exercise,No change,Visa or immigration process;Financial issues;Educational qualification,Yes,Not sure,No,Maybe,1
40 or above,Male,Self-employed,No,No,3-5 years,Yes,No role at all,Career mentors or teachers;Other;Social media and online success stories,"Middle East (e.g., UAE, Saudi Arabia)",Often,Other;Economic opportunities;Healthcare,Separation from family;Visa or immigration concerns;Language barriers,Other,No change,Other;Educational qualification;Visa or immigration process,Yes,Not sure,Yes,No,4
25-30,Male,Student,Yes,Yes,Permanently,No,A minor role,Other;Social media and online success stories;Friends or peer influence,UK,Often,Higher education;Political stability;Desire for independence,Visa or immigration concerns;Job uncertainty;Language barriers,Hobbies or physical exercise,No,Job information or experience;Visa or immigration process;All country Embassy is not in Bangladesh,No,Negative impact,Yes,Yes,3
18-24,Male,Student,Yes,Not sure yet,1-2 years,Yes,A significant role,Other;Friends or peer influence;Personal research and aspirations,"Middle East (e.g., UAE, Saudi Arabia)",Sometimes,Political stability;Better living standards;Better job opportunities,Nothing,Joining online forums,Yes,Visa or immigration process;All country Embassy is not in Bangladesh;Educational qualification,Not sure,No impact,Not Sure,Maybe,5
31-40,Male,Freelancer,Yes,No,1-2 years,Maybe,A moderate role,Other;Friends or peer influence;Personal research and aspirations,USA,Always,Better living standards;Economic opportunities;Better job opportunities,Language barriers;Other;Job uncertainty,Joining online forums,No,Visa or immigration process;Job information or experience;All country Embassy is not in Bangladesh,Not sure,Negative impact,No,No,4
31-40,Female,Employed,No,No,1-2 years,Maybe,No role at all,Personal research and aspirations;Friends or peer influence;Other,UK,Often,Other;Better living standards;Better job opportunities,Other;Cultural shock;Job uncertainty,Professional counseling,I’m not sure,Job information or experience;Educational qualification;Family pressure or support,No,Not sure,Yes,Yes,3
25-30,Male,Freelancer,No,Not sure yet,3-5 years,No,No role at all,Career mentors or teachers;Other;Family pressure or support,USA,Never,Desire for independence;Better living standards;Economic opportunities,Separation from family;Language barriers;Social acceptance,Talking to family and friends,Yes,Financial issues;Job information or experience;Other,No,Negative impact,Yes,Yes,4
25-30,Female,Student,No,Not sure yet,1-2 years,Yes,A minor role,Social media and online success stories;Family pressure or support;Personal research and aspirations,Canada,Rarely,Higher education;Other;Healthcare,Social acceptance;Separation from family;Language barriers,Other,No,Visa or immigration process;Family pressure or support;Job information or experience,No,Positive impact,No,No,3
18-24,Male,Self-employed,No,No,Less than 1 year,Maybe,A moderate role,Personal research and aspirations;Social media and online success stories;Career mentors or teachers,USA,Often,Healthcare;Desire for independence;Other,Nothing,Professional counseling,I’m not sure,Visa or immigration process;Job information or experience;Family pressure or support,No,No impact,Not Sure,No,4
18-24,Female,Student,No,No,1-2 years,No,A significant role,Family pressure or support;Personal research and aspirations;Friends or peer influence,USA,Often,Other;Political stability;Desire for independence,Language barriers;Separation from family;Job uncertainty,Joining online forums,I’m not sure,Job information or experience;Visa or immigration process;Financial issues,No,Positive impact,Not Sure,No,5
40 or above,Male,Self-employed,Yes,Yes,Permanently,Yes,A significant role,Career mentors or teachers;Friends or peer influence;Personal research and aspirations,Australia,Rarely,Better job opportunities;Political stability;Desire for independence,Job uncertainty;Other;Separation from family,Other,I’m not sure,Job information or experience;Family pressure or support;Educational qualification,Not sure,Positive impact,Not Sure,No,1
25-30,Female,Other,Yes,Yes,3-5 years,Yes,A moderate role,Friends or peer influence;Other;Personal research and aspirations,Australia,Always,Better living standards;Higher education;Other,Language barriers;Social acceptance;Separation from family,Professional counseling,I’m not sure,Other;Financial issues;Family pressure or support,Not sure,Positive impact,Yes,No,4
40 or above,Male,Other,No,Not sure yet,1-2 years,No,A minor role,Personal research and aspirations;Family pressure or support;Friends or peer influence,Australia,Rarely,Economic opportunities;Desire for independence;Other,Visa or immigration concerns;Separation from family;Language barriers,Other,Yes,Job information or experience;Family pressure or support;Visa or immigration process,Not sure,Negative impact,Yes,Yes,5
25-30,Male,Freelancer,Yes,Yes,1-2 years,Maybe,A significant role,Personal research and aspirations;Friends or peer influence;Other,Canada,Sometimes,Better job opportunities;Higher education;Better living standards,Job uncertainty;Other;Visa or immigration concerns,Professional counseling,Yes,Financial issues;Job information or experience;All country Embassy is not in Bangladesh,Yes,Not sure,Yes,Yes,2
25-30,Male,Student,Yes,Not sure yet,Permanently,Maybe,A minor role,Personal research and aspirations;Other;Family pressure or support,Canada,Rarely,Desire for independence;Other;Healthcare,Nothing,Joining online forums,No,Other;Family pressure or support;All country Embassy is not in Bangladesh,No,Negative impact,No,No,4
25-30,Female,Self-employed,No,Not sure yet,3-5 years,Maybe,A moderate role,Personal research and aspirations;Other;Family pressure or support,"Middle East (e.g., UAE, Saudi Arabia)",Often,Other;Economic opportunities;Desire for independence,Other;Visa or immigration concerns;Cultural shock,Joining online forums,Yes,All country Embassy is not in Bangladesh;Other;Visa or immigration process,No,Not sure,Not Sure,No,3
18-24,Male,Student,No,No,1-2 years,No,No role at all,Family pressure or support;Other;Social media and online success stories,USA,Never,Other;Better living standards;Desire for independence,Other;Social acceptance;Job uncertainty,Joining online forums,No,Educational qualification;All country Embassy is not in Bangladesh;Other,No,Negative impact,Not Sure,Yes,5
25-30,Male,Self-employed,No,No,Permanently,Maybe,A minor role,Other;Social media and online success stories;Career mentors or teachers,"Middle East (e.g., UAE, Saudi Arabia)",Always,Economic opportunities;Desire for independence;Higher education,Visa or immigration concerns;Separation from family;Other,Hobbies or physical exercise,No,Other;All country Embassy is not in Bangladesh;Family pressure or support,No,Negative impact,No,Maybe,5
